Line,Detail,Event Id,Event Description,Club Name,Boat,Description,Race No,Race ID,Progression,Level,Distance,Race Date,Race Time,Boat Type,Gender,Event Type,Distance,Place,Lane/Bow,Status,Raw Time,Raw Delta,Raw %,Handicap,Penalty,Adj Time,Adj Delta,Adj %,500m,Rate,Spec Cat,Meters,Meters Delta
,,3,Men's Veteran Singles I And II [60+],"All-American Rowing Camp, Llc",1,J. Dietz,0,Final,Final,1,4800,42294,0.371527778,Single,M,Veterans,4800,13,9,Finished,2237.789,111.48,0.0556,0,0,2237.789,111.48,0.0556,221.4,0,Vet II,0,0
,,41,Women's Lightweight Singles,"All-American Rowing Camp, Llc",1,T. Wilson,0,Final,Final,1,4800,42295,0.501388889,Single,W,Lightweight,4800,18,15,Finished,2246.191,210.58,0.1057,0,0,2246.191,205.58,0.1012,222.3,0,,0,0
,,DCM4X,Directors' Challenge Men's Quads,"All-American Rowing Camp, Llc",1,J. Dietz,0,Final,Final,1,4800,42295,0.538888889,Quad -,M,Challenge,4800,20,17,Finished,1844.64,310.25,0.2036,49,0,1755.64,227.12,0.1584,157.2,0,,0,0
,,15,Women's Alumni Eights,Alumni Of Rutgers Rowing,1,S. Ford,0,Final,Final,1,4800,42294,0.5375,Eight,W,Alumni,4800,36,27,Finished,2009.35,242.04,0.1547,0,0,2009.35,242.04,0.1547,206,0,,0,0
,,19,Women's Club Eights,Alumni Of Rutgers Rowing,1,E. Topp,0,Final,Final,1,4800,42294,0.596527778,Eight,W,Club,4800,34,31,Finished,2043.473,333.89,0.2077,0,0,2043.473,333.89,0.2077,209.5,0,,0,0
,,DCM4X,Directors' Challenge Men's Quads,Ambience Rowing,1,,0,Final,Final,1,4800,42295,0.538888889,Quad -,M,Challenge,4800,12,10,Finished,1813.697,239.31,0.1705,119,0,1654.697,126.18,0.0928,153.9,0,,0,0
,,51,Women's Collegiate Eights,American University Crew Team,1,J. Gardner,0,Final,Final,1,4800,42295,0.646527778,Eight,W,Collegiate,4800,30,27,Finished,2010.413,244.83,0.1576,0,0,2010.413,244.83,0.1576,206.1,0,,0,0
,,18,Men's Club Eights,Amherst College Alumni Rowing Association,1,R. Weaver,0,Final,Final,1,4800,42294,0.586111111,Eight,M,Club,4800,40,41,Finished,1839.954,335,0.2376,0,5,1844.954,340,0.2431,156.7,0,,0,0
,,26,Men's Collegiate Fours,Amherst College Rowing Association,1,A. Smith,0,Final,Final,1,4800,42294,0.6625,Four +,M,Collegiate,4800,40,35,Finished,1916.405,206.73,0.1231,0,0,1916.405,206.73,0.1231,200.5,0,,0,0
,,27,Women's Collegiate Fours,Amherst College Rowing Association,1,N. Rioseco,0,Final,Final,1,4800,42294,0.672222222,Four +,W,Collegiate,4800,13,31,Finished,2036.039,105.13,0.0556,0,0,2036.039,105.13,0.0556,208.8,0,,0,0
,,50,Men's Collegiate Eights,Amherst College Rowing Association,1,G. koff,0,Final,Final,1,4800,42295,0.636805556,Eight,M,Collegiate,4800,41,39,Finished,1911.553,338.85,0.2346,0,0,1911.553,338.85,0.2346,160,0,,0,0
,,37,Women's Master Singles,Amoskeag Rowing Club,1,S. Alwan,0,Final,Final,1,4800,42295,0.461805556,Single,W,Masters 1X,4800,17,12,Finished,2526.375,425.39,0.2105,0,0,2526.375,425.39,0.2105,239,0,,0,0
,,5,Women's Grand Master Singles [50+],Amoskeag Rowing Club,1,C. Curran,0,Final,Final,1,4800,42294,0.404166667,Single,W,Masters 1X,4800,11,9,Finished,2402.71,156.58,0.0879,0,15,2417.71,211.58,0.0992,230.3,0,,0,0
,,41,Women's Lightweight Singles,Ana Rowing Club,1,H. Jansen,0,Final,Final,1,4800,42295,0.501388889,Single,W,Lightweight,4800,6,12,Finished,2105.22,29.61,0.024,0,0,2105.22,24.61,0.0198,211.8,0,,0,0
,,6,Men's Senior Master Eights [50+],Ancient Mariners Rowing Club,1,G. Naden,0,Final,Final,1,4800,42294,0.420138889,Eight,M,Masters,4800,35,42,Finished,1830.58,216.44,0.1401,0,0,1830.58,216.44,0.1401,155.7,0,Grand Mstr,0,0
,,8,Men's Senior Master Fours [50+],Ancient Mariners Rowing Club,1,D. Kroeger,0,Final,Final,1,4800,42294,0.447222222,Four +,M,Masters,4800,40,28,Finished,2126.467,302.39,0.1652,0,0,2126.467,302.39,0.1652,214,0,Vet,0,0
,,35,Men's Youth Eights,Ann Arbor Huron High School,1,N. Sweet,0,Final,Final,1,4800,42295,0.436805556,Eight,M,Youth,4800,61,30,Finished,1655.066,155.07,0.1279,0,0,1655.066,155.07,0.1279,145.7,0,,0,0
,,43,Women's Youth Eights,Ann Arbor Huron High School,1,M. Shapiro,0,Final,Final,1,4800,42295,0.55,Eight,W,Youth,4800,46,42,Finished,1851.241,204.3,0.1234,0,0,1851.241,204.3,0.1234,157.8,0,,0,0
,,21,Women's Master Fours [40+],Ann Arbor Rowing Club,1,J. Shifferd,0,Final,Final,1,4800,42294,0.617361111,Four +,W,Masters,4800,7,6,Finished,2052.094,101.55,0.0517,0,0,2052.094,101.55,0.0517,210.4,0,,0,0
,,45,Women's Master Doubles [40+],Ann Arbor Rowing Club,1,K. Salchow MacArthur,0,Final,Final,1,4800,42295,0.579861111,Double,W,Masters,4800,1,9,Finished,1950.452,0,0,0,0,1950.452,0,0,204,0,,0,0
,,7,Women's Senior Master Eights [50+],Ann Arbor Rowing Club,1,J. Janusz,0,Final,Final,1,4800,42294,0.434722222,Eight,W,Masters,4800,16,26,Finished,2039.166,201.34,0.1085,0,0,2039.166,201.34,0.1085,209.1,0,,0,0
,,8,Men's Senior Master Fours [50+],Ann Arbor Rowing Club,1,1 - G. Emberling,0,Final,Final,1,4800,42294,0.447222222,Four +,M,Masters,4800,8,6,Finished,1913.279,49.2,0.0446,0,0,1913.279,49.2,0.0446,200.1,0,,0,0
,,8,Men's Senior Master Fours [50+],Ann Arbor Rowing Club,2,2 - M. McGovern,0,Final,Final,1,4800,42294,0.447222222,Four +,M,Masters,4800,22,21,Finished,2005.375,141.3,0.0918,0,0,2005.375,141.3,0.0918,205.6,0,,0,0
,,34,Men's Youth Fours,Annapolis Junior Rowing Association,1,M. Baldiswieler,0,Final,Final,1,4800,42295,0.394444444,Four +,M,Youth,4800,60,74,Finished,1905.929,152.7,0.1091,0,0,1905.929,152.7,0.1091,159.4,0,,0,0
,,35,Men's Youth Eights,Annapolis Junior Rowing Association,1,R. Martin,0,Final,Final,1,4800,42295,0.436805556,Eight,M,Youth,4800,79,46,Finished,1806.236,306.24,0.2069,0,0,1806.236,306.24,0.2069,153.1,0,,0,0
,,42,Women's Youth Fours,Annapolis Junior Rowing Association,1,M. Manyin,0,Final,Final,1,4800,42295,0.511111111,Four +,W,Youth,4800,54,10,Finished,2115.144,214.38,0.1178,0,0,2115.144,214.38,0.1178,212.8,0,,0,0
,,35,Men's Youth Eights,Anthony Wayne High School Crew,1,L. Johnson,0,Final,Final,1,4800,42295,0.436805556,Eight,M,Youth,4800,78,73,Finished,1805.132,305.13,0.2057,0,0,1805.132,305.13,0.2057,153,0,,0,0
,,42,Women's Youth Fours,Anthony Wayne High School Crew,1,k. selders,0,Final,Final,1,4800,42295,0.511111111,Four +,W,Youth,4800,82,35,Finished,2258.586,357.83,0.2085,0,0,2258.586,357.83,0.2085,223.6,0,,0,0
,,35,Men's Youth Eights,Archbishop Carroll High School,1,C. Evans,0,Final,Final,1,4800,42295,0.436805556,Eight,M,Youth,4800,73,72,Finished,1724.73,224.73,0.1608,0,0,1724.73,224.73,0.1608,148.8,0,,0,0
,,43,Women's Youth Eights,Archbishop Carroll High School,1,M. Greeley,0,Final,Final,1,4800,42295,0.55,Eight,W,Youth,4800,76,50,Finished,2011.902,324.96,0.2035,0,0,2011.902,324.96,0.2035,206.2,0,,0,0
,,1,Men's Senior Veteran Singles I And II [70+],Argonaut Rowing Club,1,J. Lyttle,0,Final,Final,1,4800,42294,0.333333333,Single,M,Veterans,4800,50,28,Finished,3317.275,1147.86,0.549,0,0,3317.275,1147.86,0.549,328,0,Grand Vet,0,0
,,2,"Women's Veteran I/II And Senior Veteran I/II Singles [60 - 69, 70+]",Argonaut Rowing Club,1,M. Coffey,0,Final,Final,1,4800,42294,0.347222222,Single,W,Veterans,4800,56,30,Finished,3524.25,1140.82,0.4923,0,145,3709.25,1325.82,0.5661,341.3,0,Sr. Vet I,0,0
,,20,Men's Master Fours [40+],Argonaut Rowing Club,1,A. Cherwenka,0,Final,Final,1,4800,42294,0.608333333,Four +,M,Masters,4800,13,6,Finished,1850.878,149.29,0.107,0,0,1850.878,149.29,0.107,157.8,0,,0,0
,,4,Men's Grand Master Singles [50+],Argonaut Rowing Club,1,1 - P. Macaulay,0,Final,Final,1,4800,42294,0.388888889,Single,M,Masters 1X,4800,12,9,Finished,2100.385,134.57,0.0811,0,0,2100.385,134.57,0.0811,211.3,0,,0,0
,,4,Men's Grand Master Singles [50+],Argonaut Rowing Club,2,2 - R. Blunt,0,Final,Final,1,4800,42294,0.388888889,Single,M,Masters 1X,4800,7,40,Finished,2035.76,109.94,0.06,0,0,2035.76,109.94,0.06,208.7,0,,0,0
,,4,Men's Grand Master Singles [50+],Argonaut Rowing Club,3,3 - G. Sommers,0,Final,Final,1,4800,42294,0.388888889,Single,M,Masters 1X,4800,41,31,Finished,2236.531,310.71,0.1636,0,115,2351.531,425.71,0.2279,221.3,0,,0,0
,,41,Women's Lightweight Singles,Argonaut Rowing Club,1,A. Meiklejohn,0,Final,Final,1,4800,42295,0.501388889,Single,W,Lightweight,4800,9,18,Finished,2113.989,38.38,0.0311,0,0,2113.989,33.38,0.0269,212.7,0,,0,0
,,28,Men's Championship Singles,Argonauten Ruderclub Meppen,1,S. Tieben,0,Final,Final,1,4800,42294,0.683333333,Single,M,Championship,4800,6,10,Finished,1838.569,26.6,0.0244,0,0,1838.569,26.6,0.0244,156.5,0,,0,0
,,34,Men's Youth Fours,Arlington Rowing Association - Arlington H.s.,1,E. Palmiotti,0,Final,Final,1,4800,42295,0.394444444,Four +,M,Youth,4800,78,83,Finished,2009.55,256.32,0.1706,0,0,2009.55,256.32,0.1706,206,0,,0,0
,,42,Women's Youth Fours,Arlington Rowing Association - Arlington H.s.,1,E. Cabrera,0,Final,Final,1,4800,42295,0.511111111,Four +,W,Youth,4800,85,46,Finished,2501.773,601.01,0.3165,0,0,2501.773,601.01,0.3165,236.4,0,,0,0
,,34,Men's Youth Fours,Arlington-Belmont Crew,1,J. Wenzel,0,Final,Final,1,4800,42295,0.394444444,Four +,M,Youth,4800,39,75,Finished,1820.362,107.13,0.065,0,0,1820.362,107.13,0.065,154.6,0,,0,0
,,35,Men's Youth Eights,Arlington-Belmont Crew,1,D. Ryan,0,Final,Final,1,4800,42295,0.436805556,Eight,M,Youth,4800,17,20,Finished,1558.135,58.14,0.0646,0,0,1558.135,58.14,0.0646,139.8,0,,0,0
,,43,Women's Youth Eights,Arlington-Belmont Crew,1,J. Keniston,0,Final,Final,1,4800,42295,0.55,Eight,W,Youth,4800,41,40,Finished,1835.322,148.38,0.1076,0,0,1835.322,148.38,0.1076,156.2,0,,0,0
,,17,Women's Club Fours,Army Rowing Club,1,S. Faldo,0,Final,Final,1,4800,42294,0.565972222,Four +,W,Club,4800,22,48,Finished,2037.848,136.76,0.0848,0,0,2037.848,136.76,0.0848,208.9,0,,0,0
,,35,Men's Youth Eights,Atlanta Junior Rowing Association,1,C. Brady,0,Final,Final,1,4800,42295,0.436805556,Eight,M,Youth,4800,28,58,Finished,1611.757,111.76,0.0797,0,0,1611.757,111.76,0.0797,141.2,0,,0,0
,,42,Women's Youth Fours,Atlanta Junior Rowing Association,1,E. Nitzken,0,Final,Final,1,4800,42295,0.511111111,Four +,W,Youth,4800,45,34,Finished,2055.129,154.37,0.1003,0,0,2055.129,154.37,0.1003,210.7,0,,0,0
,,43,Women's Youth Eights,Atlanta Junior Rowing Association,1,P. Cohen,0,Final,Final,1,4800,42295,0.55,Eight,W,Youth,4800,7,29,Finished,1738.838,51.9,0.0515,0,0,1738.838,51.9,0.0515,150.3,0,,0,0
,,22,Men's Master Eights [40+],Atlanta Rowing Club,1,M. Boyd,0,Final,Final,1,4800,42294,0.630555556,Eight,M,Masters,4800,10,10,Finished,1701.901,139.58,0.108,0,0,1701.901,139.58,0.108,146.4,0,,0,0
,,25,Women's Championship Doubles,Atlanta Rowing Club,1,E. Barnett,0,Final,Final,1,4800,42294,0.654166667,Double,W,Championship,4800,10,12,Finished,2026.81,128.88,0.0781,0,0,2026.81,128.88,0.0781,207.8,0,Ltwt,0,0
,,37,Women's Master Singles,Atlanta Rowing Club,1,K. Bond,0,Final,Final,1,4800,42295,0.461805556,Single,W,Masters 1X,4800,16,19,Finished,2325.432,224.44,0.1145,0,0,2325.432,224.44,0.1145,226.4,0,,0,0
,,4,Men's Grand Master Singles [50+],Atlanta Rowing Club,1,W. Cloherty,0,Final,Final,1,4800,42294,0.388888889,Single,M,Masters 1X,4800,26,32,Finished,2216.084,250.26,0.146,0,0,2216.084,250.26,0.146,219.2,0,,0,0
,,44,Men's Master Doubles [40+],Atlanta Rowing Club,1,R. Rhodes,0,Final,Final,1,4800,42295,0.572916667,Double,M,Masters,4800,17,11,Finished,2100.355,254.78,0.161,0,15,2115.355,309.78,0.1748,211.3,0,,0,0
,,DCMX4X,Directors' Challenge Mixed Quads,Atlanta Rowing Club,1,Dreamteam,0,Final,Final,1,4800,42295,0.624305556,Quad -,MX,Challenge,4800,10,13,Finished,1824.571,117.18,0.0751,0,0,1824.571,115.68,0.0736,155.1,0,,0,0
,,33B,Women's Youth Singles,Atomic Rowing,1,C. Hay,0,Final,Final,1,4800,42295,0.377777778,Single,W,Youth,4800,14,49,Finished,2344.017,224.67,0.1131,0,0,2344.017,224.67,0.1131,228.3,0,,0,0
,,38,Men's Youth Doubles,Atomic Rowing,1,J. Grice,0,Final,Final,1,4800,42295,0.472916667,Double,M,Youth,4800,31,24,Finished,1939.084,149.64,0.1025,0,0,1939.084,149.64,0.1025,202.8,0,,0,0
,,9,Women's Senior Master Fours [50+],Atomic Rowing,1,K. Bennett,0,Final,Final,1,4800,42294,0.461805556,Four +,W,Masters,4800,40,30,Finished,2434.732,403.09,0.1974,0,0,2434.732,403.09,0.1974,233.6,0,,0,0
,,33A,Womens Club Singles,Austin Rowing Club,1,G. Johnson,0,Final,Final,1,4800,42295,0.377777778,Single,W,Club,4800,7,11,Finished,2231.293,58.05,0.0449,0,5,2236.293,103.05,0.0488,220.8,0,,0,0
,,43,Women's Youth Eights,Austin Rowing Club,1,,0,Final,Final,1,4800,42295,0.55,Eight,W,Youth,4800,58,77,Finished,1923.49,236.55,0.1555,0,0,1923.49,236.55,0.1555,201.2,0,,0,0
,,44,Men's Master Doubles [40+],Austin Rowing Club,1,E. Cornet,0,Final,Final,1,4800,42295,0.572916667,Double,M,Masters,4800,19,15,Finished,2130.078,324.5,0.1884,0,100,2230.078,424.5,0.2436,214.4,0,,0,0
,,16,Men's Club Fours,Avalon Rowing Club,1,S. Smith,0,Final,Final,1,4800,42294,0.552083333,Four +,M,Club,4800,47,48,Finished,1944.18,249.64,0.1672,0,0,1944.18,249.64,0.1672,203.4,0,,0,0
,,20,Men's Master Fours [40+],Avalon Rowing Club,1,M. Tinnirello,0,Final,Final,1,4800,42294,0.608333333,Four +,M,Masters,4800,29,32,Finished,2112.124,410.53,0.2452,0,0,2112.124,410.53,0.2452,212.5,0,,0,0
,,23,Women's Master Eights [40+],Avalon Rowing Club,1,L. Shimmers,0,Final,Final,1,4800,42294,0.638194444,Eight,W,Masters,4800,22,12,Finished,2131.385,346.65,0.2129,0,0,2131.385,346.65,0.2129,214.5,0,,0,0
,,7,Women's Senior Master Eights [50+],Avalon Rowing Club,1,G. Teborek,0,Final,Final,1,4800,42294,0.434722222,Eight,W,Masters,4800,35,34,Finished,2551.437,713.61,0.3879,0,0,2551.437,713.61,0.3879,241.6,0,Vet,0,0
,,9,Women's Senior Master Fours [50+],Avalon Rowing Club,1,1 - P. Coyle,0,Final,Final,1,4800,42294,0.461805556,Four +,W,Masters,4800,49,27,Finished,2631.463,559.82,0.2921,0,0,2631.463,559.82,0.2921,245.8,0,Grand Mstr,0,0
,,9,Women's Senior Master Fours [50+],Avalon Rowing Club,2,2 - L. Jensen,0,Final,Final,1,4800,42294,0.461805556,Four +,W,Masters,4800,35,38,Finished,2346.704,315.06,0.1584,0,0,2346.704,315.06,0.1584,228.6,0,,0,0
,,DCMX4X,Directors' Challenge Mixed Quads,Avalon Rowing Club,1,R. McClure,0,Final,Final,1,4800,42295,0.624305556,Quad -,MX,Challenge,4800,27,29,Finished,2459.596,752.21,0.4596,230,0,2229.596,520.71,0.3117,236.2,0,,0,0
,,6,Men's Senior Master Eights [50+],Aviron Bayonnais,1,J. VERGNES,0,Final,Final,1,4800,42294,0.420138889,Eight,M,Masters,4800,19,11,Finished,1730.888,116.75,0.0788,0,0,1730.888,116.75,0.0788,149.5,0,,0,0
,,34,Men's Youth Fours,Avon High School,1,M. Bagley,0,Final,Final,1,4800,42295,0.394444444,Four +,M,Youth,4800,57,64,Finished,1855.402,142.17,0.0989,0,0,1855.402,142.17,0.0989,158.3,0,,0,0
