event_id,place,,,status,,lane_bow,,club,,,,,,crew,,rower,,,penalty,,penalty_desc,,time_official,,,delta,,percent,,split1,,cum1,,,split2,,cum2,,split3,cum3,splitF,cum4
16,36,,,Finished,,52,,Duke University Mens Crew,,,,,,1176.000601,,E. Glavin,,,,,,,19:05.9,,,02:11.3,,0.1294,,04:27.8,,04:27.8,,,06:12.5,,10:40.3,,05:17.8,15:58.1,03:07.8,19:05.9
16,37,,,Finished,,10,,Grand Valley State University Rowing Club,,,,,,1176.000767,,J. Deakin,,,,,,,19:15.3,,,02:20.8,,0.1388,,04:33.6,,04:33.6,,,05:52.8,,10:26.4,,05:25.4,15:51.8,03:23.6,19:15.3
16,38,,,Finished,,38,,Michigan Rowing Association Alumni,,,,,,1176.001058,,,,,,,,,19:22.0,,,02:27.4,,0.1453,,04:34.7,,04:34.7,,,05:52.7,,10:27.4,,05:27.3,15:54.7,03:27.3,19:22.0
16,39,,,Finished,,18,,George Mason University Crew Club,,,,,,1176.000741,,J. Sears,,,,,,,19:24.8,,,02:30.2,,0.1481,,04:35.6,,04:35.6,,,06:05.1,,10:40.7,,05:25.9,16:06.6,03:18.2,19:24.8
16,40,,,Finished,,31,,Boulder Community Rowing,,,,,,1176.000143,,G. Hofffman,,,,,,,19:25.1,,,02:30.5,,0.1484,,04:43.9,,04:43.9,,,05:56.3,,10:40.2,,05:27.4,16:07.6,03:17.4,19:25.1
16,41,,,Finished,,41,,University Of Vermont Crew,,,,,,1176.002052,,G. Hollings,,,,,,,19:26.5,,,02:31.9,,0.1498,,04:39.6,,04:39.6,,,06:01.9,,10:41.6,,05:32.4,16:13.9,03:12.5,19:26.5
16,42,,,Finished,,39,,Wheaton College Crew,,,,,,1176.00215,,,,,0:15,,"14-BR, 14-FR",,19:29.9,,,02:35.4,,0.1532,,04:30.4,,04:30.4,,,05:42.6,,10:13.0,,05:44.3,15:57.3,03:17.7,19:14.9
16,43,,,Finished,,35,,Nassau Rowing Club,,,,,,1176.001209,,T. Dunn,,,,,,,19:32.2,,,02:37.7,,0.1554,,04:39.7,,04:39.7,,,06:02.6,,10:42.3,,05:36.4,16:18.7,03:13.6,19:32.2
16,44,,,Finished,,40,,Canisius College,,,,,,1176.000337,,S. Grathwol,,,1:00,,12-IS,,19:37.5,,,02:43.0,,0.1606,,04:23.5,,04:23.5,,,05:45.3,,10:08.8,,05:30.5,15:39.3,02:58.2,18:37.5
16,45,,,Finished,,26,,Penn State Crew,,,,,,1176.001398,,N. Leibowitz,,,,,,,19:42.3,,,02:47.7,,0.1653,,04:40.6,,04:40.6,,,06:03.3,,10:43.9,,05:39.4,16:23.3,03:18.9,19:42.3
16,46,,,Finished,,34,,Colgate University Rowing,,,,,,1176.000535,,W. Holding,,,,,,,19:43.4,,,02:48.9,,0.1664,,04:42.2,,04:42.2,,,06:11.0,,10:53.3,,05:35.9,16:29.2,03:14.2,19:43.4
16,47,,,Finished,,48,,Avalon Rowing Club,,,,,,1176.000088,,S. Smith,,,,,,,19:44.2,,,02:49.6,,0.1672,,04:44.7,,04:44.7,,,06:04.6,,10:49.3,,05:40.9,16:30.2,03:14.0,19:44.2
16,48,,,Finished,,23,,University Of Illinois Rowing,,,,,,1176.001999,,A. Cosman,,,0:35,,"10-BR(3), 10-FR",,19:51.0,,,02:56.5,,0.1739,,04:31.4,,04:31.4,,,05:57.7,,10:29.2,,05:34.1,16:03.3,03:12.7,19:16.0
16,49,,,Finished,,9,,University Of Massachusetts - Lowell,,,,,,1176.002015,,E. McMillan,,,,,,,19:59.0,,,03:04.4,,0.1818,,04:46.3,,04:46.3,,,06:11.7,,10:58.0,,05:34.9,16:32.9,03:26.1,19:59.0
16,50,,,Finished,,53,,Black Prince Boat Club,,,,,,1176.000184,,F. Gruessing,,,,,,,20:29.7,,,03:35.2,,0.2121,,04:50.8,,04:50.8,,,06:19.0,,11:09.8,,05:55.7,17:05.6,03:24.1,20:29.7
16,51,,,Finished,,46,,"Hudson River Rowing Association, Inc.",,,,,,1176.000805,,R. Humphrey,,,,,,,20:55.9,,,04:01.4,,0.2379,,05:04.8,,05:04.8,,,06:24.4,,11:29.1,,05:57.3,17:26.5,03:29.4,20:55.9
16,52,,,Finished,,49,,Red Cedar Rowing Foundation,,,,,,1176.001519,,S. Menoch,,,,,,,22:07.1,,,05:12.5,,0.3081,,05:10.1,,05:10.1,,,06:51.9,,12:02.1,,06:25.2,18:27.3,03:39.8,22:07.1
16,53,,,Finished,,45,,Massachusetts State Police,,,,,,1176.001119,,M. Davis,,,1:00,,7-IS,,24:27.2,,,07:32.6,,0.4461,,05:27.4,,05:27.4,,,07:30.0,,12:57.5,,06:45.0,19:42.4,03:44.7,23:27.2
16,0,,,DNS,,47,,Cooper Training Center,,,,,,1176.00051,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
