OTU	taxonomy	Phyla	Class	Order	Family	Genus	Species
New.CleanUp.ReferenceOTU38489	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae		
New.CleanUp.ReferenceOTU38501	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__	 s__
New.CleanUp.ReferenceOTU38532	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__	 s__
New.CleanUp.ReferenceOTU38538	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
New.CleanUp.ReferenceOTU38564	k__Bacteria	 p__Chloroflexi	 c__TK17	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU38615	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU38663	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU38673	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__[Ruminococcus]	 s__gnavus
New.CleanUp.ReferenceOTU38703	k__Bacteria	 p__Actinobacteria	 c__Acidimicrobiia	 o__Acidimicrobiales	 f__koll13	 g__	 s__
New.CleanUp.ReferenceOTU38717	k__Bacteria	 p__Acidobacteria	 c__Acidobacteria-6	 o__BPC015	 f__	 g__	 s__
New.CleanUp.ReferenceOTU38791	k__Bacteria	 p__Bacteroidetes	 c__[Saprospirae]	 o__[Saprospirales]	 f__Chitinophagaceae	 g__	 s__
New.CleanUp.ReferenceOTU38792	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU38830	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU38849	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU38864	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Bacillaceae	 g__Oceanobacillus	 s__
New.CleanUp.ReferenceOTU38878	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Odoribacteraceae]	 g__Odoribacter	 s__
New.CleanUp.ReferenceOTU38879	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU38885	Unassigned						
New.CleanUp.ReferenceOTU38903	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Methylobacteriaceae	 g__Methylobacterium	 s__
New.CleanUp.ReferenceOTU38919	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	 s__wittichii
New.CleanUp.ReferenceOTU38930	Unassigned						
New.CleanUp.ReferenceOTU39031	k__Bacteria	 p__Actinobacteria	 c__Thermoleophilia	 o__Solirubrobacterales	 f__	 g__	 s__
New.CleanUp.ReferenceOTU39033	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39058	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU39093	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__	 s__
New.CleanUp.ReferenceOTU39103	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Bacillales	 f__Paenibacillaceae	 g__Brevibacillus	
New.CleanUp.ReferenceOTU39112	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__	 s__
New.CleanUp.ReferenceOTU39138	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Desulfovibrionales	 f__Desulfovibrionaceae	 g__Desulfovibrio	 s__
New.CleanUp.ReferenceOTU39143	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU39163	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Pseudomonadaceae	 g__Pseudomonas	 s__
New.CleanUp.ReferenceOTU39182	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__caccae
New.CleanUp.ReferenceOTU39232	k__Bacteria	 p__Acidobacteria	 c__RB25	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU39235	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingobium	 s__
New.CleanUp.ReferenceOTU39262	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39309	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39316	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU39325	Unassigned						
New.CleanUp.ReferenceOTU39330	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Veillonellaceae	 g__Dialister	 s__
New.CleanUp.ReferenceOTU39368	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU39371	k__Bacteria	 p__PAUC34f	 c__	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU39393	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39500	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Streptococcaceae	 g__Streptococcus	 s__
New.CleanUp.ReferenceOTU39561	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Methylobacteriaceae	 g__Methylobacterium	 s__adhaesivum
New.CleanUp.ReferenceOTU39666	k__Bacteria	 p__Acidobacteria	 c__Acidobacteria-6	 o__BPC015	 f__	 g__	 s__
New.CleanUp.ReferenceOTU39687	k__Bacteria	 p__Cyanobacteria	 c__Oscillatoriophycideae	 o__Oscillatoriales	 f__Phormidiaceae	 g__Oscillatoria	 s__spongeliae
New.CleanUp.ReferenceOTU39692	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39744	k__Bacteria	 p__Bacteroidetes	 c__Flavobacteriia	 o__Flavobacteriales	 f__[Weeksellaceae]	 g__Cloacibacterium	 s__
New.CleanUp.ReferenceOTU39797	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39833	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39852	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Myxococcales	 f__Cystobacterineae	 g__	 s__
New.CleanUp.ReferenceOTU39899	k__Bacteria	 p__Chloroflexi	 c__SAR202	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU39925	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU39944	k__Bacteria	 p__Gemmatimonadetes	 c__Gemm-2	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU39951	Unassigned						
New.CleanUp.ReferenceOTU39955	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU39977	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Rhodospirillaceae	 g__	 s__
New.CleanUp.ReferenceOTU39980	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39981	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Parabacteroides	 s__
New.CleanUp.ReferenceOTU39984	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU39985	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU39986	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU40020	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
New.CleanUp.ReferenceOTU40022	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	 s__
New.CleanUp.ReferenceOTU40040	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Legionellales	 f__Coxiellaceae	 g__Rickettsiella	 s__
New.CleanUp.ReferenceOTU40079	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU40113	k__Bacteria	 p__Actinobacteria	 c__Actinobacteria	 o__Actinomycetales	 f__Williamsiaceae	 g__Williamsia	 s__
New.CleanUp.ReferenceOTU40129	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU40144	Unassigned						
New.CleanUp.ReferenceOTU40193	Unassigned						
New.CleanUp.ReferenceOTU40199	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU40280	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Porphyromonas	 s__
New.CleanUp.ReferenceOTU40316	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU40376	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__	 g__	 s__
New.CleanUp.ReferenceOTU40397	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU40421	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU40541	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU40543	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU40551	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU40580	k__Bacteria	 p__Bacteroidetes	 c__Cytophagia	 o__Cytophagales	 f__Cytophagaceae	 g__Dyadobacter	 s__
New.CleanUp.ReferenceOTU40633	k__Bacteria	 p__Actinobacteria	 c__Actinobacteria	 o__Bifidobacteriales	 f__Bifidobacteriaceae	 g__Bifidobacterium	 s__longum
New.CleanUp.ReferenceOTU40647	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Erythrobacteraceae	 g__Lutibacterium	 s__
New.CleanUp.ReferenceOTU40679	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodospirillales	 f__Acetobacteraceae	 g__	 s__
New.CleanUp.ReferenceOTU40683	k__Bacteria	 p__Fusobacteria	 c__Fusobacteriia	 o__Fusobacteriales	 f__Fusobacteriaceae	 g__Fusobacterium	 s__
New.CleanUp.ReferenceOTU40703	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
New.CleanUp.ReferenceOTU40810	Unassigned						
New.CleanUp.ReferenceOTU40828	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Prevotellaceae	 g__Prevotella	 s__
New.CleanUp.ReferenceOTU40842	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Xanthomonadaceae	 g__	 s__
New.CleanUp.ReferenceOTU40843	k__Bacteria	 p__Bacteroidetes	 c__[Saprospirae]	 o__[Saprospirales]	 f__Chitinophagaceae	 g__	 s__
New.CleanUp.ReferenceOTU40873	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU40973	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__	 s__
New.CleanUp.ReferenceOTU40984	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Bradyrhizobiaceae	 g__	 s__
New.CleanUp.ReferenceOTU41028	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Veillonellaceae	 g__Dialister	 s__
New.CleanUp.ReferenceOTU41055	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingobium	 s__
New.CleanUp.ReferenceOTU41090	k__Bacteria	 p__Bacteroidetes	 c__Sphingobacteriia	 o__Sphingobacteriales	 f__	 g__	 s__
New.CleanUp.ReferenceOTU41099	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU41106	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU41126	k__Bacteria	 p__Actinobacteria	 c__Actinobacteria	 o__Actinomycetales	 f__Micrococcaceae	 g__Micrococcus	 s__
New.CleanUp.ReferenceOTU41157	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Streptococcaceae	 g__Streptococcus	 s__
New.CleanUp.ReferenceOTU41223	Unassigned						
New.CleanUp.ReferenceOTU41300	k__Bacteria	 p__Bacteroidetes	 c__[Saprospirae]	 o__[Saprospirales]	 f__Chitinophagaceae	 g__Sediminibacterium	 s__
New.CleanUp.ReferenceOTU41302	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__[Acidaminobacteraceae]	 g__WH1-8	 s__
New.CleanUp.ReferenceOTU41310	k__Bacteria	 p__Acidobacteria	 c__PAUC37f	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU41338	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae		
New.CleanUp.ReferenceOTU41387	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Lachnospiraceae	 g__[Ruminococcus]	 s__gnavus
New.CleanUp.ReferenceOTU41430	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU41455	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU41467	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__	 s__
New.CleanUp.ReferenceOTU41479	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Xanthomonadales	 f__Xanthomonadaceae	 g__	 s__
New.CleanUp.ReferenceOTU41520	k__Bacteria	 p__Cyanobacteria	 c__Oscillatoriophycideae	 o__Oscillatoriales	 f__Phormidiaceae	 g__Oscillatoria	 s__spongeliae
New.CleanUp.ReferenceOTU41523	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU41632	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__	 s__
New.CleanUp.ReferenceOTU41719	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiotrichales	 f__Piscirickettsiaceae	 g__	 s__
New.CleanUp.ReferenceOTU41734	k__Bacteria	 p__Bacteroidetes	 c__Sphingobacteriia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU41738	k__Bacteria	 p__Bacteroidetes	 c__[Saprospirae]	 o__[Saprospirales]	 f__Chitinophagaceae	 g__	 s__
New.CleanUp.ReferenceOTU41743	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Porphyromonadaceae	 g__Dysgonomonas	 s__
New.CleanUp.ReferenceOTU41765	Unassigned						
New.CleanUp.ReferenceOTU41798	k__Bacteria	 p__SBR1093	 c__VHS-B5-50	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU41821	k__Bacteria	 p__Gemmatimonadetes	 c__Gemm-2	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU41850	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__[Paraprevotellaceae]	 g__[Prevotella]	 s__
New.CleanUp.ReferenceOTU41858	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU41878	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU41892	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__	 s__
New.CleanUp.ReferenceOTU41908	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU41933	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU41944	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
New.CleanUp.ReferenceOTU42052	Unassigned						
New.CleanUp.ReferenceOTU42125	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__	 s__
New.CleanUp.ReferenceOTU42132	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU42169	Unassigned						
New.CleanUp.ReferenceOTU42251	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
New.CleanUp.ReferenceOTU42297	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU42313	Unassigned						
New.CleanUp.ReferenceOTU42327	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU42357	Unassigned						
New.CleanUp.ReferenceOTU42365	k__Bacteria	 p__Proteobacteria	 c__Betaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__	 s__
New.CleanUp.ReferenceOTU42406	Unassigned						
New.CleanUp.ReferenceOTU42418	k__Bacteria	 p__Gemmatimonadetes	 c__Gemm-2	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU42422	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Chromatiales	 f__	 g__	 s__
New.CleanUp.ReferenceOTU42440	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Streptococcaceae	 g__Streptococcus	 s__
New.CleanUp.ReferenceOTU42518	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU42520	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU42525	k__Bacteria	 p__Bacteroidetes	 c__Cytophagia	 o__Cytophagales	 f__Cytophagaceae	 g__Spirosoma	 s__
New.CleanUp.ReferenceOTU42526	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__A4b	 g__	 s__
New.CleanUp.ReferenceOTU42533	Unassigned						
New.CleanUp.ReferenceOTU42544	k__Bacteria	 p__Bacteroidetes	 c__Sphingobacteriia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU42553	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
New.CleanUp.ReferenceOTU42699	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU42776	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU42809	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU42833	k__Bacteria	 p__Proteobacteria	 c__Deltaproteobacteria	 o__Desulfovibrionales	 f__Desulfovibrionaceae	 g__Desulfovibrio	 s__
New.CleanUp.ReferenceOTU42892	k__Bacteria	 p__Acidobacteria	 c__Acidobacteria-6	 o__BPC015	 f__	 g__	 s__
New.CleanUp.ReferenceOTU42909	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU42924	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Caldilineales	 f__Caldilineaceae	 g__	 s__
New.CleanUp.ReferenceOTU42959	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas	 s__
New.CleanUp.ReferenceOTU42985	k__Bacteria	 p__Chloroflexi	 c__SAR202	 o__	 f__	 g__	 s__
New.CleanUp.ReferenceOTU42989	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae	 g__	 s__
New.CleanUp.ReferenceOTU43031	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
New.CleanUp.ReferenceOTU43094	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU43136	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU43142	Unassigned						
New.CleanUp.ReferenceOTU43153	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Streptococcaceae	 g__Streptococcus	 s__
New.CleanUp.ReferenceOTU43172	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Thiohalorhabdales	 f__	 g__	 s__
New.CleanUp.ReferenceOTU43202	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Ruminococcaceae	 g__Ruminococcus	 s__
New.CleanUp.ReferenceOTU43315	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__caccae
New.CleanUp.ReferenceOTU43330	k__Bacteria	 p__Bacteroidetes	 c__Cytophagia	 o__Cytophagales	 f__[Amoebophilaceae]	 g__Candidatus Cardinium	 s__
New.CleanUp.ReferenceOTU43367	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingobium	
New.CleanUp.ReferenceOTU43400	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Lactobacillaceae	 g__Lactobacillus	 s__
New.CleanUp.ReferenceOTU43407	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU43486	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
New.CleanUp.ReferenceOTU43555	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__	 g__	 s__
New.CleanUp.ReferenceOTU43592	k__Bacteria	 p__Spirochaetes	 c__Spirochaetes	 o__[Borreliales]	 f__[Borreliaceae]	 g__Borrelia	 s__
New.CleanUp.ReferenceOTU43603	k__Bacteria	 p__Bacteroidetes	 c__[Saprospirae]	 o__[Saprospirales]	 f__Chitinophagaceae	 g__	 s__
New.CleanUp.ReferenceOTU43632	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacteriales	 f__Enterobacteriaceae		
New.CleanUp.ReferenceOTU43732	k__Bacteria	 p__Bacteroidetes	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidaceae	 g__Bacteroides	 s__
New.CleanUp.ReferenceOTU43750	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Rickettsiaceae	 g__Rickettsia	 s__
New.CleanUp.ReferenceOTU43802	k__Bacteria	 p__Armatimonadetes	 c__[Fimbriimonadia]	 o__[Fimbriimonadales]	 f__[Fimbriimonadaceae]	 g__Fimbriimonas	 s__
