ID,Description
gene114,ID=gene114;Name=SMU_104;Dbxref=GeneID:1029676;gbkey=Gene;locus_tag=SMU_104;old_locus_tag=SMU.104
gene119,ID=gene119;Name=SMU_108;Dbxref=GeneID:1029689;gbkey=Gene;locus_tag=SMU_108;old_locus_tag=SMU.108
gene120,ID=gene120;Name=SMU_109;Dbxref=GeneID:1029688;gbkey=Gene;locus_tag=SMU_109;old_locus_tag=SMU.109
gene123,ID=gene123;Name=SMU_113;Dbxref=GeneID:1029687;gbkey=Gene;locus_tag=SMU_113;old_locus_tag=SMU.113
gene124,ID=gene124;Name=SMU_114;Dbxref=GeneID:1029691;gbkey=Gene;locus_tag=SMU_114;old_locus_tag=SMU.114
gene125,ID=gene125;Name=SMU_115;Dbxref=GeneID:1029695;gbkey=Gene;locus_tag=SMU_115;old_locus_tag=SMU.115
gene126,ID=gene126;Name=lacD2;Dbxref=GeneID:1029694;gbkey=Gene;gene=lacD2;locus_tag=SMU_116;old_locus_tag=SMU.116
gene127,ID=gene127;Name=SMU_117c;Dbxref=GeneID:1029696;gbkey=Gene;locus_tag=SMU_117c;old_locus_tag=SMU.117c
gene133,ID=gene133;Name=SMU_124;Dbxref=GeneID:1029693;gbkey=Gene;locus_tag=SMU_124;old_locus_tag=SMU.124
gene135,ID=gene135;Name=adhA;Dbxref=GeneID:1029703;gbkey=Gene;gene=adhA;locus_tag=SMU_127;old_locus_tag=SMU.127
gene136,ID=gene136;Name=adhB;Dbxref=GeneID:1029701;gbkey=Gene;gene=adhB;locus_tag=SMU_128;old_locus_tag=SMU.128
gene137,ID=gene137;Name=adhC;Dbxref=GeneID:1029708;gbkey=Gene;gene=adhC;locus_tag=SMU_129;old_locus_tag=SMU.129
gene138,ID=gene138;Name=adhD;Dbxref=GeneID:1029705;gbkey=Gene;gene=adhD;locus_tag=SMU_130;old_locus_tag=SMU.130
gene140,ID=gene140;Name=SMU_132;Dbxref=GeneID:1029707;gbkey=Gene;locus_tag=SMU_132;old_locus_tag=SMU.132
gene141,ID=gene141;Name=SMU_133c;Dbxref=GeneID:1029711;gbkey=Gene;locus_tag=SMU_133c;old_locus_tag=SMU.133c
gene142,ID=gene142;Name=SMU_134;Dbxref=GeneID:1029712;gbkey=Gene;locus_tag=SMU_134;old_locus_tag=SMU.134
gene143,ID=gene143;Name=mleR;Dbxref=GeneID:1029713;gbkey=Gene;gene=mleR;locus_tag=SMU_135;old_locus_tag=SMU.135
gene144,ID=gene144;Name=SMU_136c;Dbxref=GeneID:1029710;gbkey=Gene;locus_tag=SMU_136c;old_locus_tag=SMU.136c
gene152,ID=gene152;Name=SMU_145;Dbxref=GeneID:1029719;gbkey=Gene;locus_tag=SMU_145;old_locus_tag=SMU.145
gene155,ID=gene155;Name=SMU_150;Dbxref=GeneID:1029725;gbkey=Gene;locus_tag=SMU_150;old_locus_tag=SMU.150
gene156,ID=gene156;Name=SMU_151;Dbxref=GeneID:1029723;gbkey=Gene;locus_tag=SMU_151;old_locus_tag=SMU.151
gene157,ID=gene157;Name=SMU_152;Dbxref=GeneID:1029728;gbkey=Gene;locus_tag=SMU_152;old_locus_tag=SMU.152
gene158,ID=gene158;Name=SMU_153;Dbxref=GeneID:1029729;gbkey=Gene;locus_tag=SMU_153;old_locus_tag=SMU.153
gene161,ID=gene161;Name=SMU_156;Dbxref=GeneID:1029732;gbkey=Gene;locus_tag=SMU_156;old_locus_tag=SMU.156
gene162,ID=gene162;Name=cysE;Dbxref=GeneID:1029724;gbkey=Gene;gene=cysE;locus_tag=SMU_157;old_locus_tag=SMU.157
gene165,ID=gene165;Name=SMU_160;Dbxref=GeneID:1029727;gbkey=Gene;locus_tag=SMU_160;old_locus_tag=SMU.160
gene169,ID=gene169;Name=SMU_164;Dbxref=GeneID:1029739;gbkey=Gene;locus_tag=SMU_164;old_locus_tag=SMU.164
gene171,ID=gene171;Name=SMU_166;Dbxref=GeneID:1029740;gbkey=Gene;locus_tag=SMU_166;old_locus_tag=SMU.166
gene172,ID=gene172;Name=SMU_167;Dbxref=GeneID:1029738;gbkey=Gene;locus_tag=SMU_167;old_locus_tag=SMU.167
gene173,ID=gene173;Name=SMU_168;Dbxref=GeneID:1029743;gbkey=Gene;locus_tag=SMU_168;old_locus_tag=SMU.168
gene175,ID=gene175;Name=SMU_170;Dbxref=GeneID:1029746;gbkey=Gene;locus_tag=SMU_170;old_locus_tag=SMU.170
gene176,ID=gene176;Name=SMU_172;Dbxref=GeneID:1029742;gbkey=Gene;locus_tag=SMU_172;old_locus_tag=SMU.172
gene183,ID=gene183;Name=SMU_179;Dbxref=GeneID:1029748;gbkey=Gene;locus_tag=SMU_179;old_locus_tag=SMU.179
gene186,ID=gene186;Name=sloA;Dbxref=GeneID:1029754;gbkey=Gene;gene=sloA;locus_tag=SMU_182;old_locus_tag=SMU.182
gene187,ID=gene187;Name=sloB;Dbxref=GeneID:1029756;gbkey=Gene;gene=sloB;locus_tag=SMU_183;old_locus_tag=SMU.183
gene188,ID=gene188;Name=sloC;Dbxref=GeneID:1029755;gbkey=Gene;gene=sloC;locus_tag=SMU_184;old_locus_tag=SMU.184
gene189,ID=gene189;Name=SMU_185;Dbxref=GeneID:1029757;gbkey=Gene;locus_tag=SMU_185;old_locus_tag=SMU.185
gene190,ID=gene190;Name=sloR;Dbxref=GeneID:1029759;gbkey=Gene;gene=sloR;locus_tag=SMU_186;old_locus_tag=SMU.186
gene194,ID=gene194;Name=SMU_r04;Dbxref=GeneID:2886106;gbkey=Gene;locus_tag=SMU_r04
gene199,ID=gene199;Name=SMU_t23;Dbxref=GeneID:2886053;gbkey=Gene;locus_tag=SMU_t23
gene202,ID=gene202;Name=SMU_t26;Dbxref=GeneID:2886054;gbkey=Gene;locus_tag=SMU_t26
gene207,ID=gene207;Name=SMU_t31;Dbxref=GeneID:2886028;gbkey=Gene;locus_tag=SMU_t31
gene209,ID=gene209;Name=SMU_t33;Dbxref=GeneID:2886081;gbkey=Gene;locus_tag=SMU_t33
gene210,ID=gene210;Name=SMU_191c;Dbxref=GeneID:1029764;gbkey=Gene;locus_tag=SMU_191c;old_locus_tag=SMU.191c
gene211,ID=gene211;Name=SMU_193c;Dbxref=GeneID:1029762;gbkey=Gene;locus_tag=SMU_193c;old_locus_tag=SMU.193c
gene212,ID=gene212;Name=SMU_194c;Dbxref=GeneID:1029765;gbkey=Gene;locus_tag=SMU_194c;old_locus_tag=SMU.194c
gene213,ID=gene213;Name=SMU_195c;Dbxref=GeneID:1029763;gbkey=Gene;locus_tag=SMU_195c;old_locus_tag=SMU.195c
gene214,ID=gene214;Name=SMU_196c;Dbxref=GeneID:1029768;gbkey=Gene;locus_tag=SMU_196c;old_locus_tag=SMU.196c
gene215,ID=gene215;Name=SMU_197c;Dbxref=GeneID:1029769;gbkey=Gene;locus_tag=SMU_197c;old_locus_tag=SMU.197c
gene216,ID=gene216;Name=SMU_198c;Dbxref=GeneID:1029767;gbkey=Gene;locus_tag=SMU_198c;old_locus_tag=SMU.198c
gene217,ID=gene217;Name=SMU_199c;Dbxref=GeneID:1029766;gbkey=Gene;locus_tag=SMU_199c;old_locus_tag=SMU.199c
gene218,ID=gene218;Name=SMU_200c;Dbxref=GeneID:1027808;gbkey=Gene;locus_tag=SMU_200c;old_locus_tag=SMU.200c
gene219,ID=gene219;Name=SMU_201c;Dbxref=GeneID:1028600;gbkey=Gene;locus_tag=SMU_201c;old_locus_tag=SMU.201c
gene220,ID=gene220;Name=SMU_202c;Dbxref=GeneID:1028601;gbkey=Gene;locus_tag=SMU_202c;old_locus_tag=SMU.202c
gene221,ID=gene221;Name=SMU_204c;Dbxref=GeneID:1027809;gbkey=Gene;locus_tag=SMU_204c;old_locus_tag=SMU.204c
gene222,ID=gene222;Name=SMU_205c;Dbxref=GeneID:1027810;gbkey=Gene;locus_tag=SMU_205c;old_locus_tag=SMU.205c
gene223,ID=gene223;Name=SMU_206c;Dbxref=GeneID:1029397;gbkey=Gene;locus_tag=SMU_206c;old_locus_tag=SMU.206c
gene224,ID=gene224;Name=SMU_207c;Dbxref=GeneID:1027811;gbkey=Gene;locus_tag=SMU_207c;old_locus_tag=SMU.207c
gene225,ID=gene225;Name=SMU_208c;Dbxref=GeneID:1029375;gbkey=Gene;locus_tag=SMU_208c;old_locus_tag=SMU.208c
gene226,ID=gene226;Name=SMU_209c;Dbxref=GeneID:1027813;gbkey=Gene;locus_tag=SMU_209c;old_locus_tag=SMU.209c
gene227,ID=gene227;Name=SMU_210c;Dbxref=GeneID:1027814;gbkey=Gene;locus_tag=SMU_210c;old_locus_tag=SMU.210c
gene228,ID=gene228;Name=SMU_211c;Dbxref=GeneID:1029405;gbkey=Gene;locus_tag=SMU_211c;old_locus_tag=SMU.211c
gene229,ID=gene229;Name=SMU_212c;Dbxref=GeneID:1027816;gbkey=Gene;locus_tag=SMU_212c;old_locus_tag=SMU.212c
gene230,ID=gene230;Name=SMU_213c;Dbxref=GeneID:1027815;gbkey=Gene;locus_tag=SMU_213c;old_locus_tag=SMU.213c
gene231,ID=gene231;Name=SMU_214c;Dbxref=GeneID:1028096;gbkey=Gene;locus_tag=SMU_214c;old_locus_tag=SMU.214c
gene232,ID=gene232;Name=SMU_215c;Dbxref=GeneID:1029436;gbkey=Gene;locus_tag=SMU_215c;old_locus_tag=SMU.215c
gene233,ID=gene233;Name=SMU_216c;Dbxref=GeneID:1027817;gbkey=Gene;locus_tag=SMU_216c;old_locus_tag=SMU.216c
gene234,ID=gene234;Name=SMU_217c;Dbxref=GeneID:1028395;gbkey=Gene;locus_tag=SMU_217c;old_locus_tag=SMU.217c
gene238,ID=gene238;Name=SMU_221c;Dbxref=GeneID:1027828;gbkey=Gene;locus_tag=SMU_221c;old_locus_tag=SMU.221c
gene239,ID=gene239;Name=SMU_222c;Dbxref=GeneID:1027821;gbkey=Gene;locus_tag=SMU_222c;old_locus_tag=SMU.222c
gene241,ID=gene241;Name=SMU_224c;Dbxref=GeneID:1027822;gbkey=Gene;locus_tag=SMU_224c;old_locus_tag=SMU.224c
gene244,ID=gene244;Name=SMU_227c;Dbxref=GeneID:1029402;gbkey=Gene;locus_tag=SMU_227c;old_locus_tag=SMU.227c
gene248,ID=gene248;Name=ilvH;Dbxref=GeneID:1027834;gbkey=Gene;gene=ilvH;locus_tag=SMU_232;old_locus_tag=SMU.232
gene249,ID=gene249;Name=ilvC;Dbxref=GeneID:1029416;gbkey=Gene;gene=ilvC;locus_tag=SMU_233;old_locus_tag=SMU.233
gene250,ID=gene250;Name=ilvA;Dbxref=GeneID:1027833;gbkey=Gene;gene=ilvA;locus_tag=SMU_234;old_locus_tag=SMU.234
gene252,ID=gene252;Name=SMU_236c;Dbxref=GeneID:1029388;gbkey=Gene;locus_tag=SMU_236c;old_locus_tag=SMU.236c
