athlete,club,city,state/province,country
"Spilsbury, Eliza",University Of Virginia Womens Crew,Charlottesville,Virginia,US
"Zwicker, Ali",University Of Virginia Womens Crew,Charlottesville,Virginia,US
"Bowling, Julian",McCallie Alumni,Chattanooga,Tennessee,US
"Carroll, Tom",McCallie Alumni,Chattanooga,Tennessee,US
"Daughdrill, Jim",McCallie Alumni,Chattanooga,Tennessee,US
"Gary, Darren",McCallie Alumni,Chattanooga,Tennessee,US
"Montoya, Nicholas",McCallie Alumni,Chattanooga,Tennessee,US
"Morrow, Matt",McCallie Alumni,Chattanooga,Tennessee,US
"Patton, Ryan",McCallie Alumni,Chattanooga,Tennessee,US
"Swanson, Anders",McCallie Alumni,Chattanooga,Tennessee,US
"Wu, Jt",McCallie Alumni,Chattanooga,Tennessee,US
"Backus, Nichole",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Brandao, Katie",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Brown, Larkin",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Brown, Sarah",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Fults, McKaylyn",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Hicks, Victoria",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"McClanahan, Lili Anne",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Moore, Jackson",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Schermerhorn , Neely",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Swann, Delaney",McCallie/Girls Preparatory School Crew (mcgps),Chattanooga,Tennessee,US
"Ali, Zee",Washington College Crew,Chestertown,Maryland,US
"Boissonneault, Mark",Washington College Crew,Chestertown,Maryland,US
"Briggs, Ian",Washington College Crew,Chestertown,Maryland,US
"connell, teddy",Washington College Crew,Chestertown,Maryland,US
"Creitz, Jacquelyn",Washington College Crew,Chestertown,Maryland,US
"Eggstein, Christopher",Washington College Crew,Chestertown,Maryland,US
"Gaze, MacKenzie",Washington College Crew,Chestertown,Maryland,US
"Gibbons, Jaclyn",Washington College Crew,Chestertown,Maryland,US
"Gould, John",Washington College Crew,Chestertown,Maryland,US
"Huston Hakey, Danielle",Washington College Crew,Chestertown,Maryland,US
"Miranda, Ryan",Washington College Crew,Chestertown,Maryland,US
"Morrissette, Madeleine",Washington College Crew,Chestertown,Maryland,US
"Perry, Magnolia",Washington College Crew,Chestertown,Maryland,US
"Ramasamy, Samson",Washington College Crew,Chestertown,Maryland,US
"Saunders, Jane",Washington College Crew,Chestertown,Maryland,US
"Shipps, Juliana",Washington College Crew,Chestertown,Maryland,US
"Sniffen, Anne",Washington College Crew,Chestertown,Maryland,US
"stockburger, joseph",Washington College Crew,Chestertown,Maryland,US
"Bakke, Amanda",Boston College,Chestnut Hill,Massachusetts,US
"Barrett, Elizabeth",Boston College,Chestnut Hill,Massachusetts,US
"Barrett, Julia",Boston College,Chestnut Hill,Massachusetts,US
"Brown, Makenzy",Boston College,Chestnut Hill,Massachusetts,US
"Brzozowski, Grace",Boston College,Chestnut Hill,Massachusetts,US
"Bungard, Kelly",Boston College,Chestnut Hill,Massachusetts,US
"Cann, Madison",Boston College,Chestnut Hill,Massachusetts,US
"Carney, Megan",Boston College,Chestnut Hill,Massachusetts,US
"Clarke, Haley",Boston College,Chestnut Hill,Massachusetts,US
"Daellenbach, Isabelle",Boston College,Chestnut Hill,Massachusetts,US
"Devlieger, Kate",Boston College,Chestnut Hill,Massachusetts,US
"Ferrante, Jessica",Boston College,Chestnut Hill,Massachusetts,US
"Goldberg, Catherine",Boston College,Chestnut Hill,Massachusetts,US
"Gould, Hilary",Boston College,Chestnut Hill,Massachusetts,US
"Grunau, Grace",Boston College,Chestnut Hill,Massachusetts,US
"Hansford, Lauren",Boston College,Chestnut Hill,Massachusetts,US
"Hasegawa, Kylie",Boston College,Chestnut Hill,Massachusetts,US
"Henry, Caroline",Boston College,Chestnut Hill,Massachusetts,US
"Jaffe, Michaela",Boston College,Chestnut Hill,Massachusetts,US
"Jenkins, Amanda",Boston College,Chestnut Hill,Massachusetts,US
"Karrash, Michela",Boston College,Chestnut Hill,Massachusetts,US
"Mason, Claire",Boston College,Chestnut Hill,Massachusetts,US
"Mazziotta, Laura",Boston College,Chestnut Hill,Massachusetts,US
"McDonald, Caitlain",Boston College,Chestnut Hill,Massachusetts,US
"McDonald, Meaghan",Boston College,Chestnut Hill,Massachusetts,US
"McDonnell, Jacqueline",Boston College,Chestnut Hill,Massachusetts,US
"McKernan, Elizabeth",Boston College,Chestnut Hill,Massachusetts,US
"O'Connor, Kylie",Boston College,Chestnut Hill,Massachusetts,US
"Rann, Morgan",Boston College,Chestnut Hill,Massachusetts,US
"Tenzinger, Anna",Boston College,Chestnut Hill,Massachusetts,US
"Yaccarino, Caitin",Boston College,Chestnut Hill,Massachusetts,US
"Zettlemoyer, Jessica",Boston College,Chestnut Hill,Massachusetts,US
"Cadigan, Michael",Boston College,Chestnut Hill,Massachusetts,US
"Baldoz, Ria",Boston College,Chestnut Hill,Massachusetts,US
"Beckwith, Matthew",Boston College,Chestnut Hill,Massachusetts,US
"Brooks, Brian",Boston College,Chestnut Hill,Massachusetts,US
"Dunn, Nicholas",Boston College,Chestnut Hill,Massachusetts,US
"Gatti, Evan",Boston College,Chestnut Hill,Massachusetts,US
"Muzdakis, Zachary",Boston College,Chestnut Hill,Massachusetts,US
"Oleniczak, Benjamin",Boston College,Chestnut Hill,Massachusetts,US
"Peng, Xianju",Boston College,Chestnut Hill,Massachusetts,US
"Piekarski, Matthew",Boston College,Chestnut Hill,Massachusetts,US
"Savel, Mackenzie",Boston College,Chestnut Hill,Massachusetts,US
"Scaduto, John ",Boston College,Chestnut Hill,Massachusetts,US
"Twohig, Edward",Boston College,Chestnut Hill,Massachusetts,US
"Whitaker, Nathan",Boston College,Chestnut Hill,Massachusetts,US
"Burr, Ellen",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Flaherty, Erin",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Greco, Victoria",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Hanlon, Margaret",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Jenkins, Katie",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Jennings, Erica",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Lehane, Lauren",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Savard, Teresa",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Votta, Kaitlyn",Boston College Alumni,Chestnut Hill,Massachusetts,US
"Bielawski, Kevin",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Corbett, John",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Costello, Kevin",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Fanning, Sean",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Gonfiantini, Fred",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Gradek, Quinton",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Moran, Jeffrey",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Nunziati, Tracy",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Suter, William",Chestnut Hill Rowing Association,Chestnut Hill,Massachusetts,US
"Justic, Jack","Ignatius Chicago Rowing Association, Inc.",Chicago,Illinois,US
"prendergast, ryan","Ignatius Chicago Rowing Association, Inc.",Chicago,Illinois,US
"Rowland, Thomas","Ignatius Chicago Rowing Association, Inc.",Chicago,Illinois,US
"Verghese, Zachary","Ignatius Chicago Rowing Association, Inc.",Chicago,Illinois,US
"Young, Ethan","Ignatius Chicago Rowing Association, Inc.",Chicago,Illinois,US
"Guy, Madalyn",Lincoln Park Boat Club,Chicago,Illinois,US
"Ryan, Daniel",Lincoln Park Boat Club,Chicago,Illinois,US
"Engel, Julie",Lincoln Park Boat Club,Chicago,Illinois,US
"Bejarano Rayo, Diego Andres",Lincoln Park Boat Club,Chicago,Illinois,US
"Coleman, Morgan",Lincoln Park Boat Club,Chicago,Illinois,US
"Hawthorne, Lydia",Lincoln Park Boat Club,Chicago,Illinois,US
"Hebert, Zachary",Lincoln Park Boat Club,Chicago,Illinois,US
"Hogan, Dan",Lincoln Park Boat Club,Chicago,Illinois,US
"Karney, Josh",Lincoln Park Boat Club,Chicago,Illinois,US
"Kealhofer, Marc",Lincoln Park Boat Club,Chicago,Illinois,US
"Klein, Rick",Lincoln Park Boat Club,Chicago,Illinois,US
"kline, tara",Lincoln Park Boat Club,Chicago,Illinois,US
"Lenthe, Elise",Lincoln Park Boat Club,Chicago,Illinois,US
"Mark, Timothy",Lincoln Park Boat Club,Chicago,Illinois,US
"Minc, Samantha",Lincoln Park Boat Club,Chicago,Illinois,US
"Molzon, Jacquelynn",Lincoln Park Boat Club,Chicago,Illinois,US
"O'Brien, Megan",Lincoln Park Boat Club,Chicago,Illinois,US
"O'Connor, Linda",Lincoln Park Boat Club,Chicago,Illinois,US
"Randall, William",Lincoln Park Boat Club,Chicago,Illinois,US
"Starshak, Clare",Lincoln Park Boat Club,Chicago,Illinois,US
"Stekl, Inge",Lincoln Park Boat Club,Chicago,Illinois,US
"Taylor, Sydney",Lincoln Park Boat Club,Chicago,Illinois,US
"Tuite, Fran",Lincoln Park Boat Club,Chicago,Illinois,US
"Vasseur, Chris",Lincoln Park Boat Club,Chicago,Illinois,US
"Opferman, thomas",Recovery On Water,Chicago,Illinois,US
"Willmott, Michele",Recovery On Water,Chicago,Illinois,US
"Lechner, Suzanne",University Of Chicago Crew,Chicago,Illinois,US
"Moran, Caileen",University Of Chicago Crew,Chicago,Illinois,US
"Quam, Maddie",University Of Chicago Crew,Chicago,Illinois,US
"Reddy, Ratuja",University Of Chicago Crew,Chicago,Illinois,US
"Sands, Mark",University Of Chicago Crew,Chicago,Illinois,US
"Cusack, James",Nashaquitsa Rowing Club,Chilmark,Massachusetts,US
"Potts, Robert",Nashaquitsa Rowing Club,Chilmark,Massachusetts,US
"Iscol, Kenneth",Nashaquitsa Rowing Club,Chilmark,Massachusetts,US
"Anderson, Rick",Cincinnati Rowing Club,Cincinnati,Ohio,US
"Brundage, Meghan",Cincinnati Rowing Club,Cincinnati,Ohio,US
"Dryer, Tom",Cincinnati Rowing Club,Cincinnati,Ohio,US
"Hardy, Ajilli",Cincinnati Rowing Club,Cincinnati,Ohio,US
"Nichols, Robert",Cincinnati Rowing Club,Cincinnati,Ohio,US
"Roberts, David",Cincinnati Rowing Club,Cincinnati,Ohio,US
"Sarbanis, Meghan",Cincinnati Rowing Club,Cincinnati,Ohio,US
"Kennedy, TJ",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Art, Robby",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Bak, Christopher",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Brundage, Remy",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Brundage, Robin",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Flanagan, Emily",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Hammons, Ashley",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Leonard, Ethan",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Mehl, Kathleen",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Militello, Kristen",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Moore, Addison",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Ohntrup, David",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Sumner, Sara",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Tucker, Zach",University Of Cincinnati Rowing Team,Cincinnati,Ohio,US
"Porach, Sophia",Clemson University-Women,Clemson,South Carolina,US
"Bergamasco, Giorgia",Clemson University-Women,Clemson,South Carolina,US
"Croft, Lorena",Clemson University-Women,Clemson,South Carolina,US
"Eidson, Kathleen ",Clemson University-Women,Clemson,South Carolina,US
"Fallon, Courtney",Clemson University-Women,Clemson,South Carolina,US
"Goff, Emily",Clemson University-Women,Clemson,South Carolina,US
"Hanewich, Lydia",Clemson University-Women,Clemson,South Carolina,US
"Heuer, Milena",Clemson University-Women,Clemson,South Carolina,US
"Lundstrom, Tatiana",Clemson University-Women,Clemson,South Carolina,US
"Nencini, Gaia",Clemson University-Women,Clemson,South Carolina,US
"Prevost, Claire",Clemson University-Women,Clemson,South Carolina,US
"Robinson, Ashley",Clemson University-Women,Clemson,South Carolina,US
"Wesselmann, Paula",Clemson University-Women,Clemson,South Carolina,US
"Zielinski, Dana",Clemson University-Women,Clemson,South Carolina,US
"Aaronson, Hannah",Clemson University Rowing Association,Clemson,South Carolina,US
"Ahrens, Annie",Clemson University Rowing Association,Clemson,South Carolina,US
"Blume, Megan",Clemson University Rowing Association,Clemson,South Carolina,US
"Broderick, Amy",Clemson University Rowing Association,Clemson,South Carolina,US
"Brooks, Margaret",Clemson University Rowing Association,Clemson,South Carolina,US
"DeMarco, Rebecca",Clemson University Rowing Association,Clemson,South Carolina,US
"Fischer, Shannon",Clemson University Rowing Association,Clemson,South Carolina,US
"Huegel, Marie",Clemson University Rowing Association,Clemson,South Carolina,US
"Huibers, Britta",Clemson University Rowing Association,Clemson,South Carolina,US
"Johnson, Lauren",Clemson University Rowing Association,Clemson,South Carolina,US
"Kutyla, Emilee",Clemson University Rowing Association,Clemson,South Carolina,US
"McCarthy, Molly",Clemson University Rowing Association,Clemson,South Carolina,US
"Watson, Casey",Clemson University Rowing Association,Clemson,South Carolina,US
"Young, Casey",Clemson University Rowing Association,Clemson,South Carolina,US
"Kennedy, Colleen",Case Crew,Cleveland,Ohio,US
"Merlino, Stephanie",Case Crew,Cleveland,Ohio,US
"Miyagi, Masato",Case Crew,Cleveland,Ohio,US
"Olson-Williams, Hannah",Case Crew,Cleveland,Ohio,US
"Sevier, Abigail",Case Crew,Cleveland,Ohio,US
"Boylan, Gabrielle",Cleveland Scholastic Rowing Association,Cleveland,Ohio,US
"Bunker, Claudia",Cleveland Scholastic Rowing Association,Cleveland,Ohio,US
"Lade, Kileigh",Cleveland Scholastic Rowing Association,Cleveland,Ohio,US
"Murphy, Maeve",Cleveland Scholastic Rowing Association,Cleveland,Ohio,US
"Roman, Lauren",Cleveland Scholastic Rowing Association,Cleveland,Ohio,US
"Crawmer, Anne-Marie",Saint Joseph Academy Rowing Club,Cleveland,Ohio,US
"Koussa, Sara",Saint Joseph Academy Rowing Club,Cleveland,Ohio,US
"miller, molly",Saint Joseph Academy Rowing Club,Cleveland,Ohio,US
"Simmerly, Hannah",Saint Joseph Academy Rowing Club,Cleveland,Ohio,US
"Ward, Brittney",Saint Joseph Academy Rowing Club,Cleveland,Ohio,US
"Anders, Victoria",Western Reserve Rowing Association,Cleveland,Ohio,US
"Anthopoulos, Erini",Western Reserve Rowing Association,Cleveland,Ohio,US
"Arvidsson, Josef",Western Reserve Rowing Association,Cleveland,Ohio,US
"Batts, Elizabeth",Western Reserve Rowing Association,Cleveland,Ohio,US
"Carlsen, Matthew",Western Reserve Rowing Association,Cleveland,Ohio,US
"Donoho, Willard",Western Reserve Rowing Association,Cleveland,Ohio,US
"Faber, Steve",Western Reserve Rowing Association,Cleveland,Ohio,US
"Farrell, Gavin",Western Reserve Rowing Association,Cleveland,Ohio,US
"Glowacki, Stephen",Western Reserve Rowing Association,Cleveland,Ohio,US
"Goodman, Jennifer L.",Western Reserve Rowing Association,Cleveland,Ohio,US
"Harriman, Maureen",Western Reserve Rowing Association,Cleveland,Ohio,US
"Hornick, Thomas",Western Reserve Rowing Association,Cleveland,Ohio,US
"Jamison, Jamye",Western Reserve Rowing Association,Cleveland,Ohio,US
"Kopp, Paul",Western Reserve Rowing Association,Cleveland,Ohio,US
"Kozak, James",Western Reserve Rowing Association,Cleveland,Ohio,US
"Krengel, Eric",Western Reserve Rowing Association,Cleveland,Ohio,US
"Krengel, Kate",Western Reserve Rowing Association,Cleveland,Ohio,US
"Luken, Rebecca",Western Reserve Rowing Association,Cleveland,Ohio,US
"Nardi, Caroline",Western Reserve Rowing Association,Cleveland,Ohio,US
"O'Donnell, John",Western Reserve Rowing Association,Cleveland,Ohio,US
"Oldfield, Daniel",Western Reserve Rowing Association,Cleveland,Ohio,US
"Rickman, William",Western Reserve Rowing Association,Cleveland,Ohio,US
"Romilly, Sharon",Western Reserve Rowing Association,Cleveland,Ohio,US
"Spatny, Scott",Western Reserve Rowing Association,Cleveland,Ohio,US
"Sutcliffe, Jeanne",Western Reserve Rowing Association,Cleveland,Ohio,US
"Tuite, Fran",Western Reserve Rowing Association,Cleveland,Ohio,US
"Whitehead, Brad",Western Reserve Rowing Association,Cleveland,Ohio,US
"Sherry, Meagan",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Bartow, Chris",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Bottino, James",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"burns, ian",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"campone, mike",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Castaldo, Kelli Anne",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Christopher, Sarah",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Coy, Michael",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Freitas, Joshua",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Gregor, Jared",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Hayes, Amanda",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Kennedy, John",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Kern, Michael",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Landi, Alyssa",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Landon Schreiber, Eric",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"LeBlanc, Gabrielle",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Mariano, Katherine",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"McClendon, Savannah",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"McDonald, Maya",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"McManus, Finnbar",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Moore, J. Bailey",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Nelson, John",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Palmer, Taylor",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Pascale, Charles",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Rishel, Michael",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Schoen, Eve",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Strangia, Michaela",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Valenti, Stephen",Friends Of Shenendehowa Crew,Clifton Park,New York,US
"Rogers, Sarah Kate",Clinton Rowing Club,Clinton,Tennessee,US
"Alfi, Omry",Ransom Crew,Coconut Grove,Florida,US
"Carlos, Chris",Ransom Crew,Coconut Grove,Florida,US
"Elliott, Sophia",Ransom Crew,Coconut Grove,Florida,US
"Goldstein, Falyn",Ransom Crew,Coconut Grove,Florida,US
"Merritt, Sam",Ransom Crew,Coconut Grove,Florida,US
"Meyer-Wilson, Lucia",Ransom Crew,Coconut Grove,Florida,US
"Miro, Alana",Ransom Crew,Coconut Grove,Florida,US
"Mishael, Jordan",Ransom Crew,Coconut Grove,Florida,US
"Paul, Mykah",Ransom Crew,Coconut Grove,Florida,US
"Petersen, Andreas",Ransom Crew,Coconut Grove,Florida,US
"Pinilla, Ines",Ransom Crew,Coconut Grove,Florida,US
"Poses, Alex",Ransom Crew,Coconut Grove,Florida,US
"Ratzan, Baylar",Ransom Crew,Coconut Grove,Florida,US
"Rothfield, Julia",Ransom Crew,Coconut Grove,Florida,US
"Schwartz, Ryan",Ransom Crew,Coconut Grove,Florida,US
"Segrera, Andres",Ransom Crew,Coconut Grove,Florida,US
"Zaidenberg, Laura",Ransom Crew,Coconut Grove,Florida,US
"Zanzuri, Joseph",Ransom Crew,Coconut Grove,Florida,US
"Becerra, Christopher",Rv Kreuzgasse E.v.,Cologne,NRW,DE
"Braun, Micaela",Rv Kreuzgasse E.v.,Cologne,NRW,DE
"Ernst, Adrian",Rv Kreuzgasse E.v.,Cologne,NRW,DE
"Goeritz, Robin",Rv Kreuzgasse E.v.,Cologne,NRW,DE
"Wuelfrath, Maxime",Rv Kreuzgasse E.v.,Cologne,NRW,DE
"Briggs, Mary",Greater Columbus Rowing Association,Columbus,Ohio,US
"Bullock, Jennifer",Greater Columbus Rowing Association,Columbus,Ohio,US
"Clawson, Amy",Greater Columbus Rowing Association,Columbus,Ohio,US
"Esway, Maria",Greater Columbus Rowing Association,Columbus,Ohio,US
"Gutierrez, Melissa",Greater Columbus Rowing Association,Columbus,Ohio,US
"Hudson, Megan",Greater Columbus Rowing Association,Columbus,Ohio,US
"Linke, Hawley",Greater Columbus Rowing Association,Columbus,Ohio,US
"Odronic, Laurel",Greater Columbus Rowing Association,Columbus,Ohio,US
"Schulz, Kristie",Greater Columbus Rowing Association,Columbus,Ohio,US
"Stafford, Sarah",Greater Columbus Rowing Association,Columbus,Ohio,US
"Waterfield, James",Greater Columbus Rowing Association,Columbus,Ohio,US
"Adams, Julie",Upper Arlington High School,Columbus,Ohio,US
"Boyer, Graham",Upper Arlington High School,Columbus,Ohio,US
"Boyer, Julia",Upper Arlington High School,Columbus,Ohio,US
"Briggs, Dylan",Upper Arlington High School,Columbus,Ohio,US
"Burcham, Griffin",Upper Arlington High School,Columbus,Ohio,US
"Holman, Audrey",Upper Arlington High School,Columbus,Ohio,US
"Holman, Jack",Upper Arlington High School,Columbus,Ohio,US
"ibba, Patrick",Upper Arlington High School,Columbus,Ohio,US
"Johnson, Rachel",Upper Arlington High School,Columbus,Ohio,US
"Kroll, Julian",Upper Arlington High School,Columbus,Ohio,US
"LEE, Sangyoon",Upper Arlington High School,Columbus,Ohio,US
"McCarty, David",Upper Arlington High School,Columbus,Ohio,US
"Mellor, Allison",Upper Arlington High School,Columbus,Ohio,US
"Poling, Nathan",Upper Arlington High School,Columbus,Ohio,US
"Popson, Jordan",Upper Arlington High School,Columbus,Ohio,US
"Powell, Catherine",Upper Arlington High School,Columbus,Ohio,US
"Rammel, Simon",Upper Arlington High School,Columbus,Ohio,US
"Saalman, Ben",Upper Arlington High School,Columbus,Ohio,US
"Saalman, Rose",Upper Arlington High School,Columbus,Ohio,US
"Trudeau, Kendall",Upper Arlington High School,Columbus,Ohio,US
"Weisberg, M. Drew",Upper Arlington High School,Columbus,Ohio,US
"Winstein, Vilas",Upper Arlington High School,Columbus,Ohio,US
"Zerkel, Yena",Upper Arlington High School,Columbus,Ohio,US
"Byrne, Tucker",Friends Of Concord Crew,Concord,New Hampshire,US
"Cini, Hunter",Friends Of Concord Crew,Concord,New Hampshire,US
"Dunn, Chelsea",Friends Of Concord Crew,Concord,New Hampshire,US
"Eills, Ajah G. ",Friends Of Concord Crew,Concord,New Hampshire,US
"Eitreim, Laird",Friends Of Concord Crew,Concord,New Hampshire,US
"Healy, Kaela",Friends Of Concord Crew,Concord,New Hampshire,US
"Heindl, Anna",Friends Of Concord Crew,Concord,New Hampshire,US
"Koch, Isabelle",Friends Of Concord Crew,Concord,New Hampshire,US
"Latham, Alexander",Friends Of Concord Crew,Concord,New Hampshire,US
"loosigian, daniel",Friends Of Concord Crew,Concord,New Hampshire,US
"McNamara, Connor",Friends Of Concord Crew,Concord,New Hampshire,US
"McNish, Brady",Friends Of Concord Crew,Concord,New Hampshire,US
"Milano, Joseph",Friends Of Concord Crew,Concord,New Hampshire,US
"Ossoff, Joseph",Friends Of Concord Crew,Concord,New Hampshire,US
"Prentice, Leah",Friends Of Concord Crew,Concord,New Hampshire,US
"Quinn, Ryan",Friends Of Concord Crew,Concord,New Hampshire,US
"Reid, Jack",Friends Of Concord Crew,Concord,New Hampshire,US
"Tierney, Sam",Friends Of Concord Crew,Concord,New Hampshire,US
"WUNDERLI, DREW",Friends Of Concord Crew,Concord,New Hampshire,US
"Blain, Olivia",Middlesex School Alumni,Concord,Massachusetts,US
"Berky, Louisa",Middlesex School Alumni,Concord,Massachusetts,US
"Berky, Madeline",Middlesex School Alumni,Concord,Massachusetts,US
"Darlington, Deborah",Middlesex School Alumni,Concord,Massachusetts,US
"fish, ashley",Middlesex School Alumni,Concord,Massachusetts,US
"McClellan, Jane",Middlesex School Alumni,Concord,Massachusetts,US
"Mills, Erika",Middlesex School Alumni,Concord,Massachusetts,US
"Rothman, Laura",Middlesex School Alumni,Concord,Massachusetts,US
"Smithwick, Katherine",Middlesex School Alumni,Concord,Massachusetts,US
"Keles, Can",St. Paul's School,Concord,New Hampshire,US
"Del Vescovo, Anthony",Conshohocken Rowing Center Inc.,Conshohocken,Pennsylvania,US
"Keenan, Pat",Conshohocken Rowing Center Inc.,Conshohocken,Pennsylvania,US
"Daley-Gibson, Anna",Harriton Boat Club,Conshohocken,Pennsylvania,US
"Haugh, Tessa",Harriton Boat Club,Conshohocken,Pennsylvania,US
"Manning, Julia",Harriton Boat Club,Conshohocken,Pennsylvania,US
"Pelletier, Brynn",Harriton Boat Club,Conshohocken,Pennsylvania,US
"Yagodich, Grace",Harriton Boat Club,Conshohocken,Pennsylvania,US
"Meehan, Caitlin",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"West, Steve",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Baugh, Dave",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Baughman, Arianna",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Beckman, Mackenzie",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Blank, Lilo",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Breen, Abigail",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Chisholm, Linda",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Cook, Kim",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Culbertson, Margaret",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"George, Gillian",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Hain, Alexandra",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Jones, McGinley",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Kerr, Gavin",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Lockwood, Kathryn",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Mackenzie, Hunter",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"McAlear, Jessica",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"McAleer, Julia",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"moeller, nicholas",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Moore, Catherine",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Neary, Summer",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Rosner, Rayzel",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Tang, Nina",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Voss, Jack",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Voss, Jane",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
"Waterbury, Julie A",Whitemarsh Boat Club,Conshohocken,Pennsylvania,US
